7	1	2	3	4	5	6	8	9	
3	4	5	6	8	9	1	2	7	
6	8	9	7	1	2	3	4	5	
1	3	6	4	5	7	8	9	2	
2	5	4	8	9	6	7	1	3	
8	9	7	1	2	3	4	5	6	
4	2	3	5	6	1	9	7	8	
5	6	8	9	7	4	2	3	1	
9	7	1	2	3	8	5	6	4	

7	1	2	3	4	5	6	8	9	
3	4	5	6	9	8	7	1	2	
6	9	8	7	1	2	3	4	5	
1	2	7	4	5	6	9	3	8	
4	5	3	9	8	7	1	2	6	
9	8	6	1	2	3	4	5	7	
2	3	4	5	6	9	8	7	1	
5	7	9	8	3	1	2	6	4	
8	6	1	2	7	4	5	9	3	

7	1	2	3	4	5	8	6	9	
3	4	5	8	6	9	2	1	7	
6	8	9	2	1	7	3	4	5	
1	2	3	4	5	6	7	9	8	
4	5	6	7	9	8	1	2	3	
8	9	7	1	2	3	6	5	4	
2	3	1	5	8	4	9	7	6	
5	6	8	9	7	1	4	3	2	
9	7	4	6	3	2	5	8	1	

