7	1	2	3	4	5	6	8	9
3	4	5	6	8	9	7	1	2
6	8	9	7	1	2	3	4	5
1	2	3	4	5	6	8	9	7
4	5	6	8	9	7	1	2	3
8	9	7	1	2	3	4	5	6
2	3	4	5	6	8	9	7	1
5	6	8	9	7	1	2	3	4
9	7	1	2	3	4	5	6	8

7	1	2	3	4	5	6	9	8
3	4	5	6	9	8	7	1	2
6	9	8	7	1	2	3	4	5
1	2	3	4	5	6	9	8	7
4	5	6	9	8	7	1	2	3
9	8	7	1	2	3	4	5	6
2	3	4	5	6	9	8	7	1
5	6	9	8	7	1	2	3	4
8	7	1	2	3	4	5	6	9

7	1	2	3	4	5	8	6	9
3	4	5	8	6	9	7	1	2
8	6	9	7	1	2	3	4	5
1	2	3	4	5	8	6	9	7
4	5	8	6	9	7	1	2	3
6	9	7	1	2	3	4	5	8
2	3	4	5	8	6	9	7	1
5	8	6	9	7	1	2	3	4
9	7	1	2	3	4	5	8	6

7	1	2	3	4	5	8	9	6
3	4	5	8	9	6	7	1	2
8	9	6	7	1	2	3	4	5
1	2	3	4	5	8	9	6	7
4	5	8	9	6	7	1	2	3
9	6	7	1	2	3	4	5	8
2	3	4	5	8	9	6	7	1
5	8	9	6	7	1	2	3	4
6	7	1	2	3	4	5	8	9

7	1	2	3	4	5	9	6	8
3	4	5	9	6	8	7	1	2
9	6	8	7	1	2	3	4	5
1	2	3	4	5	9	6	8	7
4	5	9	6	8	7	1	2	3
6	8	7	1	2	3	4	5	9
2	3	4	5	9	6	8	7	1
5	9	6	8	7	1	2	3	4
8	7	1	2	3	4	5	9	6

7	1	2	3	4	5	9	8	6
3	4	5	9	8	6	7	1	2
9	8	6	7	1	2	3	4	5
1	2	3	4	5	9	8	6	7
4	5	9	8	6	7	1	2	3
8	6	7	1	2	3	4	5	9
2	3	4	5	9	8	6	7	1
5	9	8	6	7	1	2	3	4
6	7	1	2	3	4	5	9	8

7	1	2	3	4	6	5	8	9
3	4	6	5	8	9	7	1	2
5	8	9	7	1	2	3	4	6
1	2	3	4	6	5	8	9	7
4	6	5	8	9	7	1	2	3
8	9	7	1	2	3	4	6	5
2	3	4	6	5	8	9	7	1
6	5	8	9	7	1	2	3	4
9	7	1	2	3	4	6	5	8

7	1	2	3	4	6	5	9	8
3	4	6	5	9	8	7	1	2
5	9	8	7	1	2	3	4	6
1	2	3	4	6	5	9	8	7
4	6	5	9	8	7	1	2	3
9	8	7	1	2	3	4	6	5
2	3	4	6	5	9	8	7	1
6	5	9	8	7	1	2	3	4
8	7	1	2	3	4	6	5	9

7	1	2	3	4	6	8	5	9
3	4	6	8	5	9	7	1	2
8	5	9	7	1	2	3	4	6
1	2	3	4	6	8	5	9	7
4	6	8	5	9	7	1	2	3
5	9	7	1	2	3	4	6	8
2	3	4	6	8	5	9	7	1
6	8	5	9	7	1	2	3	4
9	7	1	2	3	4	6	8	5

7	1	2	3	4	6	8	9	5
3	4	6	8	9	5	7	1	2
8	9	5	7	1	2	3	4	6
1	2	3	4	6	8	9	5	7
4	6	8	9	5	7	1	2	3
9	5	7	1	2	3	4	6	8
2	3	4	6	8	9	5	7	1
6	8	9	5	7	1	2	3	4
5	7	1	2	3	4	6	8	9

